total_students,birth_country,race,dre
56,BOLÍVIA,RECUSOU INFORMA,IP
56,BOLÍVIA,BRANCA,PE
56,BOLÍVIA,BRANCA,MP
54,PARAGUAI,PARDA,JT
54,VENEZUELA,BRANCA,BT
53,VENEZUELA,BRANCA,CL
51,BOLÍVIA,INDIGENA,PE
50,HAITI,PRETA,G
47,VENEZUELA,PARDA,BT
46,BOLÍVIA,AMARELA,JT
45,BOL�VIA,PARDA,IP
44,ANGOLA,PRETA,IQ
43,VENEZUELA,BRANCA,CS
39,VENEZUELA,PARDA,JT
38,PARAGUAI,RECUSOU INFORMA,JT
38,VENEZUELA,PARDA,PE
38,PARAGUAI,PARDA,IP
37,HAITI,PRETA,JT
36,BOLÍVIA,PARDA,CL
36,NIGÉRIA,PRETA,PE
36,VENEZUELA,RECUSOU INFORMA,BT
35,VENEZUELA,BRANCA,JT
34,BOLÍVIA,RECUSOU INFORMA,PJ
32,BOL�VIA,AMARELA,PE
31,VENEZUELA,RECUSOU INFORMA,CS
29,BOLÍVIA,BRANCA,G
29,BOL�VIA,PARDA,IQ
28,BOLÍVIA,RECUSOU INFORMA,G
28,BOLÍVIA,PARDA,IQ
28,BOL�VIA,AMARELA,JT
27,PERU,PARDA,IP
26,BOLÍVIA,RECUSOU INFORMA,IQ
26,VENEZUELA,PARDA,G
25,VENEZUELA,BRANCA,SA
25,BOLÍVIA,PARDA,CS
25,ARGENTINA,PARDA,JT
25,VENEZUELA,RECUSOU INFORMA,JT
25,BOL�VIA,PARDA,G
24,BOL�VIA,INDIGENA,FO
24,VENEZUELA,BRANCA,PJ
24,BOLÍVIA,AMARELA,PE
23,BOLÍVIA,INDIGENA,IP
23,VENEZUELA,BRANCA,PE
23,BOL�VIA,PARDA,PJ
23,BOL�VIA,PARDA,SM
23,BOL�VIA,BRANCA,IQ
23,VENEZUELA,PARDA,SA
22,VENEZUELA,PARDA,FO
21,BOLÍVIA,RECUSOU INFORMA,SM
21,PARAGUAI,BRANCA,PE
21,ANGOLA,RECUSOU INFORMA,JT
20,PARAGUAI,PARDA,PE
20,BOL�VIA,RECUSOU INFORMA,FO
20,BOL�VIA,RECUSOU INFORMA,IQ
20,AFEGANIST�O,BRANCA,PE
20,HAITI,RECUSOU INFORMA,CL
19,HAITI,RECUSOU INFORMA,SM
19,BOLÍVIA,BRANCA,SM
19,BOLÍVIA,INDIGENA,MP
19,BOLÍVIA,BRANCA,IQ
19,PERU,BRANCA,IP
18,BOL�VIA,RECUSOU INFORMA,IP
17,VENEZUELA,RECUSOU INFORMA,PE
17,SENEGAL,PRETA,IP
16,HAITI,PRETA,BT
16,HAITI,PRETA,FO
16,BOL�VIA,RECUSOU INFORMA,G
16,AFEGANISTÃO,BRANCA,IP
15,BOLÍVIA,BRANCA,CL
15,NIGÉRIA,PRETA,BT
15,HAITI,RECUSOU INFORMA,PJ
15,ANGOLA,PRETA,CS
15,VENEZUELA,PARDA,IQ
15,NIGÉRIA,PRETA,G
15,BOLÍVIA,AMARELA,IP
15,BOLÍVIA,AMARELA,G
14,HAITI,PARDA,SM
14,BOLÍVIA,RECUSOU INFORMA,CL
14,VENEZUELA,RECUSOU INFORMA,PJ
14,BOL�VIA,BRANCA,SM
14,VENEZUELA,PRETA,SM
14,BURKINA FASSO,PRETA,PE
14,PERU,BRANCA,CL
14,BOLÍVIA,BRANCA,PJ
14,HAITI,PRETA,IQ
13,ARGENTINA,PARDA,PE
13,PERU,PARDA,PE
13,PERU,RECUSOU INFORMA,JT
13,AFEGANISTÃO,BRANCA,PE
13,ARGENTINA,BRANCA,JT
13,ANGOLA,PRETA,CL
13,BOL�VIA,RECUSOU INFORMA,PJ
12,GUIN� BISSAU,PRETA,IP
12,VENEZUELA,BRANCA,IQ
12,ARGENTINA,RECUSOU INFORMA,JT
12,ANGOLA,RECUSOU INFORMA,IP
11,COLÔMBIA,RECUSOU INFORMA,CL
11,GUIN� BISSAU,PRETA,CS
11,HAITI,RECUSOU INFORMA,IP
11,VENEZUELA,BRANCA,G
11,PARAGUAI,BRANCA,FO
11,PARAGUAI,RECUSOU INFORMA,IP
11,PERU,RECUSOU INFORMA,IP
11,BOL�VIA,BRANCA,IP
10,HAITI,RECUSOU INFORMA,G
10,BOL�VIA,AMARELA,FO
10,ANGOLA,RECUSOU INFORMA,PE
10,HAITI,PRETA,SA
10,PERU,RECUSOU INFORMA,FO
10,ANGOLA,PRETA,PJ
10,CUBA,BRANCA,BT
10,HAITI,RECUSOU INFORMA,PE
10,ANGOLA,PRETA,MP
10,VENEZUELA,RECUSOU INFORMA,G
10,PERU,PARDA,JT
10,BOLÍVIA,BRANCA,CS
10,VENEZUELA,BRANCA,FO
9,BOL�VIA,PARDA,CS
9,ANGOLA,PRETA,G
9,COLÔMBIA,BRANCA,IP
9,BOL�VIA,PARDA,CL
9,BOL�VIA,BRANCA,FO
9,PERU,BRANCA,JT
9,NIGÉRIA,PRETA,CL
9,PORTUGAL,BRANCA,CL
9,ANGOLA,RECUSOU INFORMA,IQ
9,BOLÍVIA,RECUSOU INFORMA,CS
9,AFEGANISTÃO,RECUSOU INFORMA,IP
9,ANGOLA,PRETA,SA
9,VENEZUELA,PRETA,IP
8,BOL�VIA,RECUSOU INFORMA,SM
8,EQUADOR,PARDA,PE
8,ARGENTINA,BRANCA,FO
8,PARAGUAI,RECUSOU INFORMA,PE
8,ARGENTINA,BRANCA,IP
8,VENEZUELA,PARDA,MP
8,PERU,PARDA,IQ
8,VENEZUELA,BRANCA,MP
8,ARGENTINA,PARDA,FO
8,HAITI,NÃO DECLARADA,SM
8,BOL�VIA,INDIGENA,IP
8,COLÔMBIA,PARDA,IP
7,PERU,RECUSOU INFORMA,PE
7,SENEGAL,PRETA,PE
7,JAP�O,AMARELA,IQ
7,COL�MBIA,BRANCA,JT
7,PERU,PARDA,CL
7,PERU,BRANCA,BT
7,PARAGUAI,PARDA,FO
7,VENEZUELA,RECUSOU INFORMA,IQ
7,COLÔMBIA,RECUSOU INFORMA,JT
7,HAITI,PRETA,CS
7,AFEGANIST�O,BRANCA,IP
7,CONGO,PRETA,JT
7,ARGENTINA,PARDA,IP
7,ANGOLA,PRETA,FO
7,CONGO,PRETA,IP
7,PARAGUAI,RECUSOU INFORMA,FO
7,BOLÍVIA,AMARELA,PJ
6,S�RIA,BRANCA,IQ
6,EQUADOR,RECUSOU INFORMA,PE
6,BOL�VIA,PARDA,BT
6,HAITI,PARDA,PE
6,MARROCOS,BRANCA,SM
6,EGITO,RECUSOU INFORMA,CS
6,VENEZUELA,INDIGENA,PE
6,NIGÉRIA,PRETA,MP
6,BOLÍVIA,PARDA,BT
6,GUINÉ BISSAU,PRETA,IP
6,JAPÃO,AMARELA,IQ
6,ARGENTINA,RECUSOU INFORMA,PE
6,ARGENTINA,BRANCA,PE
6,BOLÍVIA,AMARELA,MP
6,ANGOLA,PARDA,IP
6,PARAGUAI,BRANCA,PJ
6,S�RIA,BRANCA,JT
6,BOLÍVIA,AMARELA,BT
6,ARGENTINA,INDIGENA,JT
6,VENEZUELA,INDIGENA,IP
5,BOLÍVIA,BRANCA,BT
5,S�RIA,BRANCA,IP
5,PORTUGAL,BRANCA,CS
5,ANGOLA,PRETA,BT
5,PORTUGAL,BRANCA,IP
5,PARAGUAI,BRANCA,SM
5,PERU,RECUSOU INFORMA,CL
5,CHILE,BRANCA,BT
5,PERU,BRANCA,PE
5,PARAGUAI,BRANCA,CL
5,HAITI,PRETA,MP
5,BOL�VIA,BRANCA,PJ
5,ESTADOS UNIDOS DA AMÉRICA (EUA),BRANCA,IP
5,BOLÍVIA,PRETA,JT
5,PERU,PARDA,SM
5,ARGENTINA,BRANCA,SM
5,SENEGAL,PRETA,JT
5,BOL�VIA,BRANCA,G
5,BOLÍVIA,PARDA,SA
5,COL�MBIA,BRANCA,IP
5,COL�MBIA,PARDA,JT
5,EQUADOR,INDIGENA,IP
5,BOLÍVIA,INDIGENA,PJ
5,PARAGUAI,BRANCA,IQ
5,JAP�O,BRANCA,IP
5,CUBA,BRANCA,IP
5,COLÔMBIA,PARDA,JT
5,JAPÃO,BRANCA,BT
5,ARGENTINA,BRANCA,CL
4,BOL�VIA,INDIGENA,SM
4,PARAGUAI,AMARELA,IP
4,PARAGUAI,PARDA,CL
4,VENEZUELA,INDIGENA,JT
4,NAMÍBIA,PRETA,PE
4,NIG�RIA,PRETA,G
4,VENEZUELA,RECUSOU INFORMA,MP
4,BOLÍVIA,INDIGENA,IQ
4,MARROCOS,PARDA,IP
4,BOLÍVIA,RECUSOU INFORMA,BT
4,CONGO,PRETA,SM
4,ÁFRICA DO SUL,PRETA,BT
4,JAPÃO,AMARELA,BT
4,COLÔMBIA,BRANCA,BT
4,PERU,BRANCA,FO
4,MARROCOS,PARDA,MP
4,ARGENTINA,RECUSOU INFORMA,IP
4,COLÔMBIA,BRANCA,JT
4,CUBA,BRANCA,CS
4,ALEMANHA,BRANCA,IP
4,ANGOLA,RECUSOU INFORMA,SM
4,NIG�RIA,PRETA,SM
4,NIGÉRIA,PRETA,SM
4,PERU,INDIGENA,IP
4,EQUADOR,PRETA,BT
4,BOL�VIA,INDIGENA,G
4,BOL�VIA,RECUSOU INFORMA,CS
4,ARGENTINA,RECUSOU INFORMA,FO
4,ARGENTINA,BRANCA,PJ
4,CUBA,BRANCA,JT
4,VENEZUELA,RECUSOU INFORMA,SA
4,NIG�RIA,PRETA,BT
4,VENEZUELA,INDIGENA,BT
4,BOL�VIA,N�O DECLARADA,PE
4,PARAGUAI,PARDA,MP
4,HAITI,PARDA,PJ
4,BOLÍVIA,NÃO DECLARADA,PE
4,VENEZUELA,PRETA,PE
4,PARAGUAI,RECUSOU INFORMA,MP
4,HAITI,PARDA,CL
4,EGITO,BRANCA,JT
4,BOLÍVIA,INDIGENA,CS
4,VENEZUELA,PRETA,IQ
4,NIG�RIA,PRETA,PE
4,EQUADOR,BRANCA,PE
3,PERU,INDIGENA,JT
3,ARGENTINA,BRANCA,G
3,EQUADOR,BRANCA,IP
3,ESTADOS UNIDOS DA AMÉRICA (EUA),RECUSOU INFORMA,IP
3,BOL�VIA,PARDA,MP
3,CUBA,RECUSOU INFORMA,MP
3,COLÔMBIA,BRANCA,IQ
3,NIGÉRIA,PRETA,IP
3,BOL�VIA,AMARELA,PJ
3,PARAGUAI,BRANCA,G
3,CUBA,PARDA,SM
3,COL�MBIA,RECUSOU INFORMA,IQ
3,BOL�VIA,BRANCA,CS
3,PERU,BRANCA,SA
3,NIG�RIA,RECUSOU INFORMA,SA
3,ANGOLA,RECUSOU INFORMA,CS
3,EQUADOR,RECUSOU INFORMA,BT
3,PARAGUAI,RECUSOU INFORMA,G
3,AFEGANISTÃO,PARDA,IP
3,�FRICA DO SUL,PRETA,PE
3,EGITO,BRANCA,PE
3,CUBA,PARDA,CS
3,ESTADOS UNIDOS DA AMÉRICA (EUA),BRANCA,CL
3,PARAGUAI,BRANCA,CS
3,GUIN� BISSAU,PRETA,PE
3,BOL�VIA,AMARELA,IP
3,GUIN�,PRETA,CS
3,CANADÁ,BRANCA,IP
3,ARGENTINA,PARDA,IQ
3,NIGÉRIA,RECUSOU INFORMA,SA
3,CHILE,PARDA,JT
3,BOL�VIA,INDIGENA,CS
3,PERU,BRANCA,IQ
3,REPÚBLICA DOMINICANA,PRETA,IP
3,MÉXICO,PARDA,FO
3,BOLÍVIA,INDIGENA,BT
3,EQUADOR,PARDA,IP
3,CAMARÕES,RECUSOU INFORMA,PE
3,COL�MBIA,RECUSOU INFORMA,IP
3,CONGO,PRETA,SA
3,ESPANHA,BRANCA,CS
3,PARAGUAI,RECUSOU INFORMA,IQ
3,ESTADOS UNIDOS DA AMÉRICA (EUA),BRANCA,BT
3,ISRAEL,RECUSOU INFORMA,PJ
3,VENEZUELA,PRETA,CL
3,S�RIA,BRANCA,PE
3,ARGENTINA,BRANCA,CS
3,BOL�VIA,INDIGENA,PJ
3,ARGENTINA,PARDA,CL
3,IRÃ,BRANCA,BT
3,VENEZUELA,RECUSOU INFORMA,FO
3,REP�BLICA DOMINICANA,PRETA,SM
3,PARAGUAI,BRANCA,MP
3,IRAQUE,BRANCA,JT
3,ANGOLA,PARDA,PE
3,GUINÉ BISSAU,PRETA,CS
3,ARGENTINA,PARDA,G
3,COL�MBIA,BRANCA,SM
3,NIGÉRIA,PRETA,JT
3,HAITI,PARDA,JT
3,BOL�VIA,BRANCA,BT
3,CUBA,BRANCA,CL
3,COLÔMBIA,PARDA,PJ
3,VENEZUELA,AMARELA,IP
3,HAITI,RECUSOU INFORMA,JT
3,PERU,PARDA,PJ
3,IRÃ,BRANCA,PE
3,ÁFRICA DO SUL,PRETA,IP
3,VENEZUELA,PRETA,FO
3,ESPANHA,BRANCA,PJ
3,CUBA,RECUSOU INFORMA,CL
3,ESTADOS UNIDOS DA AMÉRICA (EUA),BRANCA,JT
3,JAP�O,RECUSOU INFORMA,IP
3,PARAGUAI,PARDA,PJ
3,EQUADOR,PARDA,PJ
3,JAP�O,AMARELA,JT
3,CABO VERDE,PRETA,G
3,PORTUGAL,NÃO DECLARADA,CL
3,SUDÃO,PARDA,IP
3,PORTUGAL,BRANCA,BT
3,NIGÉRIA,PRETA,PJ
3,BOLÍVIA,AMARELA,IQ
3,AFEGANIST�O,PARDA,PE
3,AFEGANISTÃO,BRANCA,FO
3,ESTADOS UNIDOS DA AMÉRICA (EUA),PARDA,CL
2,TUNÍSIA,BRANCA,CL
2,NIGÉRIA,PRETA,IQ
2,COLÔMBIA,BRANCA,PE
2,PARAGUAI,AMARELA,FO
2,SENEGAL,PRETA,MP
2,CHILE,BRANCA,IP
2,SÍRIA,BRANCA,JT
2,HONDURAS,RECUSOU INFORMA,CL
2,NAM�BIA,PRETA,PE
2,PARAGUAI,PARDA,G
2,VENEZUELA,AMARELA,CL
2,VENEZUELA,INDIGENA,FO
2,ARGENTINA,BRANCA,BT
2,CHILE,NÃO DECLARADA,PJ
2,ESTADOS UNIDOS DA AMÉRICA (EUA),PRETA,IP
2,JAPÃO,BRANCA,G
2,JAPÃO,PARDA,MP
2,EQUADOR,BRANCA,BT
2,BONAIRE SAINT EUSTATIUS E SABA,PARDA,JT
2,CHILE,NÃO DECLARADA,CL
2,EQUADOR,RECUSOU INFORMA,JT
2,AUSTRÁLIA,BRANCA,FO
2,PARAGUAI,INDIGENA,IP
2,PAQUIST�O,RECUSOU INFORMA,CS
2,COL�MBIA,BRANCA,PE
2,CONGO,PRETA,G
2,EQUADOR,BRANCA,CL
2,GANA,PRETA,IQ
2,COL�MBIA,PARDA,BT
2,PORTUGAL,RECUSOU INFORMA,IQ
2,EGITO,BRANCA,CS
2,BOL�VIA,INDIGENA,BT
2,BOL�VIA,RECUSOU INFORMA,BT
2,HAITI,RECUSOU INFORMA,IQ
2,PERU,RECUSOU INFORMA,IQ
2,ESPANHA,BRANCA,FO
2,BOL�VIA,AMARELA,BT
2,COLÔMBIA,BRANCA,PJ
2,BOLÍVIA,BRANCA,SA
2,SÍRIA,BRANCA,IP
2,TOGO,PRETA,SA
2,JAPÃO,BRANCA,IQ
2,JAP�O,AMARELA,PJ
2,PORTUGAL,BRANCA,PJ
2,CONGO,PRETA,IQ
2,SERRA LEOA,PRETA,FO
2,COL�MBIA,PARDA,IQ
2,VENEZUELA,PRETA,CS
2,REPÚBLICA DOMINICANA,PRETA,CL
2,CUBA,BRANCA,PJ
2,HAITI,RECUSOU INFORMA,SA
2,CUBA,PARDA,IP
2,PORTUGAL,RECUSOU INFORMA,PE
2,NIG�RIA,PRETA,IQ
2,JAP�O,BRANCA,CL
2,ANGOLA,RECUSOU INFORMA,MP
2,BOLÍVIA,INDIGENA,CL
2,COLÔMBIA,PARDA,G
2,BOL�VIA,AMARELA,IQ
2,JAPÃO,BRANCA,JT
2,GUIN�,PRETA,PE
2,GUINÉ BISSAU,PRETA,CL
2,GUIANA,RECUSOU INFORMA,IP
2,HAITI,RECUSOU INFORMA,MP
2,EQUADOR,RECUSOU INFORMA,IP
2,PORTUGAL,BRANCA,SA
2,HAITI,PARDA,IP
2,ESPANHA,PRETA,MP
2,JAP�O,AMARELA,BT
2,CHILE,BRANCA,CL
2,COLÔMBIA,PARDA,PE
2,ARGENTINA,RECUSOU INFORMA,SM
2,ESTADOS UNIDOS DA AMÉRICA (EUA),PRETA,BT
2,ARGENTINA,PRETA,IP
2,PERU,PARDA,FO
2,VENEZUELA,AMARELA,CS
2,ESTADOS UNIDOS DA AMÉRICA (EUA),BRANCA,CS
2,REP�BLICA DOMINICANA,PRETA,IP
2,SÍRIA,RECUSOU INFORMA,JT
2,SÍRIA,PARDA,IQ
2,CUBA,RECUSOU INFORMA,BT
2,S�RIA,BRANCA,SM
2,PERU,PARDA,CS
2,COLÔMBIA,RECUSOU INFORMA,BT
2,COL�MBIA,BRANCA,PJ
2,SENEGAL,PRETA,BT
2,REPÚBLICA DOMINICANA,RECUSOU INFORMA,PJ
2,PAQUIST�O,PARDA,CS
2,JAPÃO,BRANCA,CL
2,HAITI,NÃO DECLARADA,PJ
2,ANGOLA,PARDA,CL
2,NIGÉRIA,PRETA,FO
2,VENEZUELA,PRETA,PJ
2,MARROCOS,BRANCA,PE
2,GUIN� BISSAU,PRETA,CL
2,BOL�VIA,RECUSOU INFORMA,CL
2,PERU,INDIGENA,PJ
2,BANGLADESH,RECUSOU INFORMA,IP
2,ARGENTINA,PARDA,PJ
2,MÉXICO,BRANCA,JT
2,COL�MBIA,PARDA,IP
2,VENEZUELA,AMARELA,G
2,CAMAR�ES,PRETA,G
2,SÍRIA,RECUSOU INFORMA,CS
2,PERU,RECUSOU INFORMA,SM
2,BOLÍVIA,AMARELA,SM
2,PARAGUAI,PARDA,CS
2,PERU,INDIGENA,IQ
2,CUBA,PARDA,JT
2,ANGOLA,PARDA,JT
2,ESPANHA,BRANCA,SM
2,�FRICA DO SUL,PRETA,BT
2,ALEMANHA,RECUSOU INFORMA,SM
2,RÚSSIA,BRANCA,BT
2,VENEZUELA,PRETA,G
2,CUBA,RECUSOU INFORMA,PJ
2,PORTUGAL,RECUSOU INFORMA,IP
2,FILIPINAS,AMARELA,JT
2,AFEGANISTÃO,BRANCA,CS
2,COL�MBIA,RECUSOU INFORMA,PE
2,BENIN,PRETA,IQ
2,LÍBANO,BRANCA,PE
2,JAP�O,AMARELA,SA
2,TUN�SIA,RECUSOU INFORMA,SM
2,MARROCOS,PARDA,PJ
2,BOL�VIA,PARDA,SA
2,BOLÍVIA,AMARELA,CS
2,PARAGUAI,RECUSOU INFORMA,CL
2,BOLÍVIA,NÃO DECLARADA,CS
2,NIG�RIA,PRETA,CL
2,PORTUGAL,BRANCA,JT
2,ANGOLA,RECUSOU INFORMA,PJ
2,REP�BLICA DOMINICANA,RECUSOU INFORMA,PJ
2,S�RIA,RECUSOU INFORMA,CS
2,BOLÍVIA,NÃO DECLARADA,PJ
2,CHILE,PARDA,IP
2,CHILE,BRANCA,PJ
2,VENEZUELA,AMARELA,JT
2,CABO VERDE,PRETA,IP
2,TUNÍSIA,BRANCA,IQ
2,VENEZUELA,AMARELA,SM
2,INGLATERRA,BRANCA,BT
2,JAPÃO,AMARELA,CL
2,CHILE,BRANCA,SA
2,M�XICO,BRANCA,BT
2,BOLÍVIA,INDIGENA,G
2,ANGOLA,RECUSOU INFORMA,FO
2,ARGENTINA,AMARELA,JT
2,ARGENTINA,RECUSOU INFORMA,PJ
2,PERU,INDIGENA,FO
2,PERU,RECUSOU INFORMA,PJ
2,COLÔMBIA,RECUSOU INFORMA,CS
2,RÚSSIA,BRANCA,IP
2,COLÔMBIA,RECUSOU INFORMA,IP
2,LÍBANO,BRANCA,JT
2,ANGOLA,PARDA,IQ
2,COL�MBIA,BRANCA,BT
2,BOL�VIA,INDIGENA,IQ
2,PARAGUAI,PARDA,IQ
2,COLÔMBIA,BRANCA,SA
2,JAPÃO,BRANCA,MP
2,CUBA,RECUSOU INFORMA,JT
2,ESTADOS UNIDOS DA AMÉRICA (EUA),RECUSOU INFORMA,CL
2,L�BANO,BRANCA,PE
2,IR�,BRANCA,PE
2,BOL�VIA,AMARELA,G
2,MALI,PRETA,IP
2,ITÁLIA,BRANCA,IP
2,PERU,RECUSOU INFORMA,CS
2,IEMEN DO SUL,PARDA,IP
2,BOL�VIA,BRANCA,CL
2,JAPÃO,BRANCA,IP
1,HAITI,N�O DECLARADA,IP
1,PORTUGAL,PARDA,G
1,ARGENTINA,RECUSOU INFORMA,CL
1,SENEGAL,PRETA,FO
1,ITÁLIA,RECUSOU INFORMA,IP
1,LÍBANO,PARDA,PE
1,GUINÉ BISSAU,PRETA,IQ
1,PORTUGAL,PARDA,PJ
1,PERU,AMARELA,BT
1,FILIPINAS,PARDA,JT
1,ZAIRE,PRETA,IP
1,ARGENTINA,RECUSOU INFORMA,CS
1,COL�MBIA,RECUSOU INFORMA,JT
1,JAP�O,RECUSOU INFORMA,PE
1,COLÔMBIA,PARDA,BT
1,JAPÃO,NÃO DECLARADA,BT
1,CAMARÕES,PRETA,G
1,IEMEN,PARDA,IP
1,REPÚBLICA CENTRO AFRICANA,PRETA,IP
1,HAITI,BRANCA,SM
1,ARGENTINA,RECUSOU INFORMA,MP
1,GUIANA FRANCESA,PRETA,PJ
1,CANADÁ,BRANCA,JT
1,VENEZUELA,INDIGENA,CL
1,PARAGUAI,PARDA,SM
1,JAP�O,BRANCA,JT
1,CHILE,RECUSOU INFORMA,FO
1,SUÍÇA,BRANCA,IQ
1,JAPÃO,BRANCA,SA
1,JAPÃO,AMARELA,IP
1,IRLANDA,PARDA,JT
1,MONGÓLIA,PARDA,IP
1,REPÚBLICA TCHECA,BRANCA,G
1,PORTUGAL,BRANCA,SM
1,JAP�O,BRANCA,CS
1,PERU,NÃO DECLARADA,PE
1,GUIANA FRANCESA,RECUSOU INFORMA,FO
