open_spaces,dre,school
4,CS,ASSOCIACAO COMUNITARAIA DO JARDIM IDEAL - UNID VII CS
4,CS,JOSE AMADEI. ENG.
4,CS,MARSILAC
4,FO,CLUBE DE MAES JD VISTA ALEGRE UNID III FO
4,FO,ASSOCIACAO CANTAREIRA UNID XIV FO
4,FO,ASSOCIACAO CANTAREIRA UNID III FO
4,FO,CANTINHO DOS ANJOS
4,FO,CENTRO DE ASSISTENCIA SOCIAL DO JD PERI - UNID I
4,FO,MARIO PEREIRA BICUDO. PROF.
4,FO,PAULO NOGUEIRA FILHO
4,FO,ASSOCIACAO CANTAREIRA
4,G,DORACI DOS SANTOS RAMOS. PROFA
4,G,MARIO BENI. DEP.
4,G,CIDADE TIRADENTES
4,G,RAFA GIRE
4,G,EDNA ALVES DE SOUSA PROFA
4,G,IRENE MANKE MARQUES. PROFA.
4,IP,GABRIEL PRESTES
4,IP,UNAS NUCLEO LAGOA IP
4,IP,CASA DA CRIANCA SANTA ANGELA
4,IP,PLACIDO DE SOUZA FILHO
4,IQ,THEREZA THE DE CARVALHO. PROFA.
4,IQ,OBRA SOCIAL DA PAROQUIA CRISTO RESSUSCITADO
4,IQ,CARLOS JEREISSATI. SEN.
4,JT,NOE AZEVEDO. PROF
4,JT,DERVILLE ALLEGRETTI. PROF.
4,JT,CENTRO INT ED JOVENS E ADULTOS - SANTANA/TUCURUVI
4,JT,ANTONIO SANT ANA GALVAO. FREI
4,JT,ANTONIO SAMPAIO. VER.
4,MP,AMANHA-SER
4,MP,ILDEFRANCA. IRMA
4,MP,MOVA - ASS COMUNITARIA SANTA LUZIA UNID II MP
4,MP,CONS COM. DE EDUC DO DISTRITO DE CURUCA E GRANDE LESTE
4,MP,ASS COM FLORESTAN FERNANDES UNID VII MP
4,MP,RAIOS DE LUZ UNID V
4,PE,LEONOR MENDES DE BARROS
4,PE,ABRAO DE MORAES. PROF.
4,PE,CAIRU. VISC. DE
4,PJ,PEDRO DE TOLEDO
4,PJ,NSE CENTRO SOCIAL CORACAO DE MARIA
4,PJ,PINHEIRINHO DAGUA
4,PJ,JACOB SALVADOR ZVEIBIL. VER.
4,PJ,ANTONIO RAPOSO TAVARES
4,PJ,MARIO KOSEL FILHO
4,SA,CASTELINHO DOM BOSCO
4,SA,PEDREIRA I
4,SM,ASS MORADORES NA LUTA P MORADIA DO CONJ TEOTONIO VILELA
4,SM,AEC PADRE LUIZ SUTTER UNID XXXVII SM
4,SM,ASSOCIACAO EDUCAIONAL E CULTURAL PADRE LUIZ SUTTER
4,SM,CARLOS HUMBERTO VOLPON. PROF.
4,SM,AEC PADRE LUIZ SUTTER UNID XII SM
4,SM,AEC PADRE LUIZ SUTTER UNID XXI SM
4,SM,JARDIM NOVE DE JULHO
3,BT,OSCAR PEDROSO HORTA
3,BT,DAISY AMADIO FUJIWARA. PROFA.
3,CL,SANTA THERESINHA
3,CL,ANDORINHA DOS BEIRAIS
3,CL,YOLANDA DE SOUZA SANTALUCIA. PROFA.
3,CL,CARMELO CALI
3,CL,CARITAS - SAO JOAO BATISTA - VALO VELHO
3,CL,PAULO ZINGG
3,CL,JARDIM KAGOHARA
3,CL,JOSE FRANCISCO CAVALCANTE. PROF
3,CL,PADRE JAIME
3,CL,CARITAS - SAO FRANCISCO DE ASSIS
3,CS,VELEIROS
3,CS,GERALDO DE ARRUDA PENTEADO. CEL.
3,CS,YOJIRO TAKAOKA
3,CS,JARDIM KIOTO
3,CS,GAIVOTAS
3,CS,JARDIM SABIA
3,CS,CONOSCO BARRAGEM
3,FO,JARDIM SANTA TEREZA
3,FO,NAIR CORREA BUARQUE
3,FO,FREGUESIA DO O
3,FO,PARQUE MANDY
3,FO,CASA VERDE - WALTER ABRAHAO
3,FO,ASSOCIACAO CANTAREIRA UNID VII FO
3,G,VILA PAULISTA
3,G,ZACARIA MAURO FACCIO GONCALVES
3,G,JUSCELINO KUBITSCHEK OLIVEIRA. PRES.
3,G,JOSE ROBERTO DE CASTRO RIBEIRO. PROF.
3,G,VILA CRUZEIRO
3,G,EVANIR APARECIDA HILARIO. PROFA
3,G,ADHEMAR FERREIRA DA SILVA
3,G,BARRO BRANCO III
3,IP,ANTONIO RUBBO MULLER. PROF.
3,IP,IRINEU MARINHO
3,IP,BRINCAR DE VIVER
3,IP,UNAS NUCLEO MINA DOIS UNID I IP
3,IP,AZIZ NACIB AB SABER
3,IP,SAO PAULO
3,IP,UNAS-UNIAO NUCLEOS ASS MORADORES HELIOPOLIS E SAO J CLIMACO
3,IP,JARDIM CLIMAX
3,IP,CAMARA MUNICIPAL DE SAO PAULO
3,IP,ANA ROSA DE ARAUJO. DA
3,IP,EDUCANDARIO SAGRADA FAMILIA
3,IP,VILA ALPINA
3,IQ,MENINOS E MENINAS DO ABC AURORA
3,IQ,VILA SANTA TERESINHA
3,JT,DINA KUTNER DE SOUZA - DINA SFAT
3,JT,MARINA NOGUEIRA DE SOUZA MARTINS
3,JT,ESPERANCA PARA TODOS I
3,JT,TAUFIK DAUD KURBAN. PROF.
3,JT,MUTIRAO DO POBRE
3,JT,AQUARELA BIASI
3,JT,PAULO CARNEIRO THOMAZ ALVES. GEN.
3,MP,CARLOS OLIVALDO DE SOUZA LOPES MUNIZ. DR.
3,MP,GRUPO ORG EM DEFESA DA EDUC E CULTURA UNID VI MP
3,MP,ACAS
3,MP,SAO MIGUEL
3,MP,AMIGOS DA ESPERANCA
3,PE,FERNANDO SABINO
3,PE,QUINTINO BOCAIUVA
3,PE,LAR DONA TINA II
3,PE,SANTO ESTEVAO
3,PE,MARCILIO DIAS
3,PE,ANTONIO VIEIRA. PE.
3,PJ,LEONEL FRANCA. PE.
3,PJ,NOSSA SENHORA DOS REMEDIOS
3,PJ,JANE VERZINHASSE PERES ZANFRA. PROFA.
3,PJ,ALEGRIA E VIDA
3,PJ,ESTRADA DO CORREDOR
3,PJ,JARDIM IPANEMA
3,SA,JARDIM MARIA LUIZA
3,SA,LORENA RODRIGUES
3,SA,BORBA GATO
3,SA,PEDREIRA - MAR PAULISTA - GUACURI
3,SA,NELSON PIMENTEL QUEIROZ. PROF.
3,SA,GELOIRA DE CAMPOS
3,SM,HAVILAH
3,SM,ASS COMUNITARIA SEMPRE VIVA UNID II SM
3,SM,AEC PADRE LUIZ SUTTER UNID XL
3,SM,DANTON CASTILHO CABRAL
3,SM,C.E.C. JOAO PAULO II
3,SM,RODOLFO PIRANI
3,SM,JARDIM LARANJEIRAS
3,SM,CLAUDIO MANOEL DA COSTA
3,SM,AEC PADRE LUIZ SUTTER UNID XIX SM
3,SM,JESUINA NUNES BARBOSA
2,BT,ANTONIO BENTO
2,BT,YVONE MALUHY JOSEPF SABGA
2,BT,MARIA APARECIDA VITA PIANTE. PROFA.
2,BT,FERNANDO PESSOA
2,BT,SANTO AGOSTINHO - ASA
2,BT,NINHO DA AMIZADE
2,BT,JARDIM DAS VERTENTES
2,BT,NIDA MALDI CORAZZA. EDUCADORA
2,BT,SANTA ROSA II
2,CL,MITSUTANI
2,CL,LOREANE LALLO. PROFA
2,CL,ZULMIRA CAVALHEIRO FAUSTINO
2,CL,CRISTO LIBERTADOR I
2,CL,WILMA ALVARENGA DE OLIVEIRA. PROFA.
2,CL,VOVO DILEUZA
2,CL,ELON MACENA
2,CL,ALAIDE BUENO RODRIGUES. PROFA.
2,CL,ESPACO COM VIVER - JARDIM DOM JOSE
2,CL,JOANA MITSUE ISHII. PROFA
2,CL,DINAH SILVEIRA DE QUEIROZ
2,CL,ARACY DE ALMEIDA
2,CL,JARDIM KAGOHARA I
2,CL,JARDIM CATANDUVA
2,CL,THEODOMIRO MONTEIRO DO AMARAL. PROF.
2,CL,JARDIM SAO BENTO
2,CL,JARDIM DIONISIO
2,CL,CARITAS - NOSSA SENHORA DAS GRACAS
2,CL,JARDIM INGA
2,CS,ASSOC COMUN CANTINHO DO CEU UNID II CS
2,CS,LUIZ GONZAGA DO NASCIMENTO - GONZAGAO
2,CS,JOSE ROSCHEL CHRISTI - JUCA ROCHA
2,CS,JARDIM IPORANGA
2,CS,SANTA FE
2,CS,CIDADE DUTRA
2,CS,JOSE RAMOS FILHO
2,CS,PARQUE COCAIA II
2,CS,CRESCER II
2,FO,LUCAS NOGUEIRA GARCEZ. GOV.
2,FO,JOAO AMOS COMENIUS
2,FO,VICENTE PAULO DA SILVA
2,FO,TITO LIVIO FERREIRA. PROF.
2,FO,ARLINDO VEIGA DOS SANTOS. PROF.
2,FO,JOSE ROBSON COSTA DE ARAUJO. BOMBEIRO
2,FO,MARIA JOSE DE SOUZA
2,FO,ASSOCIACAO CANTAREIRA UNID I FO
2,FO,EDUARDO GOMES. BRIG.
2,FO,ELIAS DE SIQUEIRA CAVALCANTI. DR.
2,G,IASHUA
2,G,JARDIM SANTA ETELVINA
2,G,OSWALDO ARANHA BANDEIRA DE MELLO
2,G,CASP CENTRAL DE ASS E SOCIEDADES POPULARES XIII
2,G,JULIO FRANCISCO DE SOUZA III
2,G,LAR SEMENTES DE PAZ
2,G,INCONFIDENTES
2,G,SOL EMILIO DE OLIVEIRA
2,G,MORIAH
2,G,LUCIANO MENDES DE ALMEIDA. DOM
2,G,MARIA AUGUSTA DE PAULA PROFA
2,G,VALDIR AZEVEDO
2,G,CONJUNTO HABITACIONAL BALTAZAR CISNEROS
2,G,ANTONIO PEREIRA LIMA
2,G,CASP CENTRAL DE ASSOC E SOC POP UNID V G
2,G,ESPACO KAIROS KANOE
2,G,IGEVE GUAIANASES MENDONCA
2,IP,ALBERTO DE OLIVEIRA
2,IP,RUTH LOPES ANDRADE. PROFA.
2,IP,BOM RETIRO
